state,state_code,city,zip_code_start,zip_code_end,state_lat,state_lng
Acre,AC,Rio Branco,69900,69920,-9.070003236,-68.66997929
Acre,AC,AC Interior,69921,69999,-9.070003236,-68.66997929
Alagoas,AL,Maceió,57000,57099,-9.48000405,-35.83996769
Alagoas,AL,AL Interior,57100,57999,-9.48000405,-35.83996769
Amapá,AP,Macapá,68900,68914,-0.039598369,-51.17998743
Amapá,AP,AP Interior,68915,68999,-0.039598369,-51.17998743
Amazonas,AM,Manaus,69000,69099,-3.289580873,-60.6199797
Amazonas,AM,AM Interior,69100,69299,-3.289580873,-60.6199797
Amazonas,AM,AM Interior,69400,69899,-3.289580873,-60.6199797
Bahia,BA,Salvador,40000,42599,-16.28000242,-39.0299797
Bahia,BA,BA Região Metropolitana de Salvador,42600,43999,-16.28000242,-39.0299797
Bahia,BA,BA Interior,44000,48999,-16.28000242,-39.0299797
Ceará,CE,Fortaleza,60000,61599,-2.89999225,-40.85002364
Ceará,CE,CE Região Metropolitana de Fortaleza,61600,61999,-2.89999225,-40.85002364
Ceará,CE,CE Interior,62000,63999,-2.89999225,-40.85002364
Distrito Federal,DF,Brasília,70000,70999,-15.78334023,-47.91605229
Distrito Federal,DF,DF Cidades-Satélites,71000,72799,-15.78334023,-47.91605229
Distrito Federal,DF,DF Cidades-Satélites,73000,73699,-15.78334023,-47.91605229
Espírito Santo,ES,Vitória,29000,29099,-20.85000771,-41.12998071
Espírito Santo,ES,ES Região Metropolitana de Vitória,29100,29199,-20.85000771,-41.12998071
Espírito Santo,ES,ES Interior,29200,29999,-20.85000771,-41.12998071
Goiás,GO,Goiânia,74000,74899,-17.73004311,-49.10998458
Goiás,GO,GO Região Metropolitana de Goiânia,74900,75199,-17.73004311,-49.10998458
Goiás,GO,GO Entorno de Brasília,72800,72999,-17.73004311,-49.10998458
Goiás,GO,GO Interior,73700,73999,-17.73004311,-49.10998458
Goiás,GO,GO Interior,75200,76799,-17.73004311,-49.10998458
Grande São Paulo,SP,SP Capital,1000,5999,-23.65283405,-46.52781661
Grande São Paulo,SP,SP Capital,8000,8499,-23.65283405,-46.52781661
Grande São Paulo,SP,SP Região Metropolitana de São Paulo,6000,9999,-23.65283405,-46.52781661
Interior e litoral de SP,SP,SP Litoral,11000,11999,-23.65283405,-46.52781661
Interior e litoral de SP,SP,SP Interior,12000,19999,-23.65283405,-46.52781661
Maranhão,MA,São Luís,65000,65099,-5.809995505,-46.14998438
Maranhão,MA,MA Interior,65100,65999,-5.809995505,-46.14998438
Mato Grosso,MT,Cuiabá,78000,78109,-15.65001504,-56.14002059
Mato Grosso,MT,MT Interior,78110,78999,-15.65001504,-56.14002059
Mato Grosso do Sul,MS,Campo Grande,79000,79129,-22.53000853,-55.7299681
Mato Grosso do Sul,MS,MS Interior,79130,79999,-22.53000853,-55.7299681
Minas Gerais,MG,Belo Horizonte,30000,31999,-18.78000486,-42.95002466
Minas Gerais,MG,MG Região Metropolitana de Belo Horizonte,32000,34999,-18.78000486,-42.95002466
Minas Gerais,MG,MG Interior,35000,39999,-18.78000486,-42.95002466
Pará,PA,Belém,66000,66999,-1.190019105,-47.17999903
Pará,PA,PA Região Metropolitana de Belém,67000,67999,-1.190019105,-47.17999903
Pará,PA,PA Interior,68000,68899,-1.190019105,-47.17999903
Paraiba,PB,João Pessoa,58000,58099,-7.019585756,-37.29000838
Paraiba,PB,PB Interior,58100,58999,-7.019585756,-37.29000838
Paraná,PR,Curitiba,80000,82999,-24.08996499,-54.2699797
Paraná,PR,PR Região Metropolitana de Curitiba,83000,83899,-24.08996499,-54.2699797
Paraná,PR,PR Interior,83900,87999,-24.08996499,-54.2699797
Pernambuco,PE,Recife,50000,52999,-8.110010153,-35.02004358
Pernambuco,PE,PE Região Metropolitana do Recife,53000,54999,-8.110010153,-35.02004358
Pernambuco,PE,PE Interior,55000,56999,-8.110010153,-35.02004358
Piauí,PI,Teresina,64000,64099,-4.820030091,-42.18001998
Piauí,PI,PI Interior,64100,64999,-4.820030091,-42.18001998
Rio de Janeiro,RJ,RJ Capital,20000,23799,-22.56003253,-44.1699502
Rio de Janeiro,RJ,RJ Região Metropolitana do Rio de Janeiro,23800,26599,-22.56003253,-44.1699502
Rio de Janeiro,RJ,RJ Interior,26600,28999,-22.56003253,-44.1699502
Rio Grande do Norte,RN,Natal,59000,59139,-5.650005271,-37.80000309
Rio Grande do Norte,RN,RN Interior,59140,59999,-5.650005271,-37.80000309
Rio Grande do Sul,RS,Porto Alegre,90000,91999,-30.88004148,-55.53000615
Rio Grande do Sul,RS,RS Região Metropolitana de Porto Alegre,92000,94999,-30.88004148,-55.53000615
Rio Grande do Sul,RS,RS Interior,95000,99999,-30.88004148,-55.53000615
Rondônia,RO,Porto Velho,76800,76849,-11.64002724,-61.20999536
Rondônia,RO,RO Interior,76850,76999,-11.64002724,-61.20999536
Roraima,RR,Boa Vista,69300,69339,1.816231505,-61.12767481
Roraima,RR,RR Interior,69340,69399,1.816231505,-61.12767481
Santa Catarina,SC,Florianópolis,88000,88099,-27.23003172,-52.03001306
Santa Catarina,SC,SC Região Metropolitana de Florianópolis,88100,88179,-27.23003172,-52.03001306
Santa Catarina,SC,SC Interior,88180,89999,-27.23003172,-52.03001306
Sergipe,SE,Aracaju,49000,49099,-11.26961058,-37.45002446
Sergipe,SE,SE Interior,49100,49999,-11.26961058,-37.45002446
Tocantins,TO,Palmas,77000,77299,-6.319576804,-47.41998438
Tocantins,TO,TO Interior,77300,77999,-6.319576804,-47.41998438
